time	V(vin)	V(vout)
1.036382113818237e-002	2.192724e+001	2.029495e+000
1.037382113818237e-002	2.192524e+001	2.029492e+000
1.038382113818237e-002	2.192323e+001	2.029490e+000
1.039382113818237e-002	2.192124e+001	2.029489e+000
1.040382113818237e-002	2.191924e+001	2.029488e+000
1.041382113818237e-002	2.191724e+001	2.029485e+000
1.042382113818237e-002	2.191524e+001	2.029484e+000
1.043382113818237e-002	2.191324e+001	2.029482e+000
1.044382113818237e-002	2.191124e+001	2.029480e+000
1.045382113818237e-002	2.190924e+001	2.029478e+000
1.046382113818237e-002	2.190724e+001	2.029477e+000
1.047382113818237e-002	2.190524e+001	2.029475e+000
1.048382113818237e-002	2.190324e+001	2.029473e+000
1.049382113818237e-002	2.190124e+001	2.029472e+000
1.050382113818237e-002	2.189924e+001	2.029470e+000
1.051382113818237e-002	2.189724e+001	2.029469e+000
1.052382113818237e-002	2.189524e+001	2.029467e+000
1.053382113818237e-002	2.189324e+001	2.029465e+000
1.054382113818237e-002	2.189124e+001	2.029464e+000
1.055382113818237e-002	2.188924e+001	2.029462e+000
1.056382113818236e-002	2.188724e+001	2.029460e+000
1.057382113818236e-002	2.188523e+001	2.029459e+000
1.058382113818236e-002	2.188324e+001	2.029457e+000
1.059382113818236e-002	2.188124e+001	2.029455e+000
1.060382113818236e-002	2.187924e+001	2.029454e+000
1.061382113818236e-002	2.187724e+001	2.029452e+000
1.062382113818236e-002	2.187524e+001	2.029450e+000
1.063382113818236e-002	2.187324e+001	2.029449e+000
1.064382113818236e-002	2.187123e+001	2.029447e+000
1.065382113818236e-002	2.186924e+001	2.029445e+000
1.066382113818236e-002	2.186724e+001	2.029444e+000
1.067382113818236e-002	2.186524e+001	2.029442e+000
1.068382113818236e-002	2.186324e+001	2.029440e+000
1.069382113818236e-002	2.186124e+001	2.029438e+000
1.070382113818236e-002	2.185924e+001	2.029437e+000
1.071382113818236e-002	2.185723e+001	2.029435e+000
1.072382113818236e-002	2.185524e+001	2.029433e+000
1.073382113818236e-002	2.185324e+001	2.029432e+000
1.074382113818236e-002	2.185124e+001	2.029430e+000
1.075382113818236e-002	2.184924e+001	2.029428e+000
1.076382113818236e-002	2.184724e+001	2.029427e+000
