rl	V(vout)	-I(Rl)
4.890000000099940e+000	2.007115e+000	4.104529e-001
4.900000000099940e+000	2.007115e+000	4.096152e-001
4.910000000099940e+000	2.007115e+000	4.087810e-001
4.920000000099940e+000	2.007115e+000	4.079502e-001
4.930000000099939e+000	2.007115e+000	4.071227e-001
4.940000000099939e+000	2.007115e+000	4.062985e-001
4.950000000099939e+000	2.007115e+000	4.054778e-001
4.960000000099939e+000	2.007115e+000	4.046603e-001
4.970000000099939e+000	2.007115e+000	4.038461e-001
4.980000000099938e+000	2.007115e+000	4.030352e-001
4.990000000099938e+000	2.007115e+000	4.022275e-001
5.000000000099938e+000	2.007115e+000	4.014231e-001
5.010000000099938e+000	2.007115e+000	4.006218e-001
5.020000000099937e+000	2.007073e+000	3.998154e-001
5.030000000099937e+000	2.007115e+000	3.990289e-001
5.040000000099937e+000	2.007116e+000	3.982372e-001
5.050000000099937e+000	2.007116e+000	3.974486e-001
5.060000000099937e+000	2.007115e+000	3.966631e-001
5.070000000099936e+000	2.007116e+000	3.958808e-001
5.080000000099936e+000	2.007057e+000	3.950900e-001
5.090000000099936e+000	2.007116e+000	3.943253e-001
5.100000000099936e+000	2.007086e+000	3.935463e-001
5.110000000099936e+000	2.007116e+000	3.927820e-001
5.120000000099935e+000	2.007116e+000	3.920148e-001
5.130000000099935e+000	2.007116e+000	3.912507e-001
