time	V(vin)	V(vout)
1.652209439468873e-002	2.084779e+001	2.028583e+000
1.653209439468874e-002	2.084679e+001	2.028582e+000
1.654209439468874e-002	2.084579e+001	2.028582e+000
1.655209439468874e-002	2.084479e+001	2.028581e+000
1.656209439468875e-002	2.084379e+001	2.028580e+000
1.657209439468875e-002	2.084279e+001	2.028579e+000
1.658209439468875e-002	2.084179e+001	2.028578e+000
1.659209439468876e-002	2.084079e+001	2.028577e+000
1.660209439468876e-002	2.083979e+001	2.028576e+000
1.661209439468876e-002	2.083879e+001	2.028576e+000
1.662209439468877e-002	2.083779e+001	2.028575e+000
1.663209439468877e-002	2.083679e+001	2.028574e+000
1.664209439468877e-002	2.083579e+001	2.028573e+000
1.665209439468877e-002	2.083479e+001	2.028572e+000
1.666209439468878e-002	2.083379e+001	2.028571e+000
1.667209439468878e-002	2.083279e+001	2.028571e+000
1.668209439468878e-002	2.083179e+001	2.028570e+000
1.669209439468879e-002	2.083079e+001	2.028569e+000
1.670209439468879e-002	2.082979e+001	2.028568e+000
1.671209439468879e-002	2.082879e+001	2.028567e+000
1.672209439468880e-002	2.082779e+001	2.028566e+000
1.673209439468880e-002	2.082679e+001	2.028565e+000
1.674209439468880e-002	2.082579e+001	2.028565e+000
1.675209439468881e-002	2.082479e+001	2.028564e+000
1.676209439468881e-002	2.082379e+001	2.028563e+000
1.677209439468881e-002	2.082279e+001	2.028562e+000
1.678209439468881e-002	2.082179e+001	2.028561e+000
1.679209439468882e-002	2.082079e+001	2.028560e+000
1.680209439468882e-002	2.081979e+001	2.028559e+000
1.681209439468882e-002	2.081879e+001	2.028559e+000
1.683209439468883e-002	2.081679e+001	2.028557e+000
1.684209439468883e-002	2.081579e+001	2.028556e+000
1.685209439468884e-002	2.081479e+001	2.028555e+000
1.686209439468884e-002	2.081379e+001	2.028554e+000
1.687209439468884e-002	2.081279e+001	2.028553e+000
1.688209439468884e-002	2.081179e+001	2.028553e+000
1.689209439468885e-002	2.081079e+001	2.028552e+000
1.690209439468885e-002	2.080979e+001	2.028551e+000
1.691209439468885e-002	2.080879e+001	2.028550e+000
1.692209439468886e-002	2.080779e+001	2.028549e+000
1.693209439468886e-002	2.080679e+001	2.028548e+000
1.695209439468887e-002	2.080479e+001	2.028547e+000
1.696209439468887e-002	2.080379e+001	2.028546e+000
1.697209439468887e-002	2.080279e+001	2.028545e+000
1.698209439468888e-002	2.080179e+001	2.028544e+000
1.700209439468888e-002	2.079979e+001	2.028543e+000
1.701209439468888e-002	2.079879e+001	2.028542e+000
1.702209439468889e-002	2.079779e+001	2.028541e+000
1.703209439468889e-002	2.079679e+001	2.028540e+000
1.704209439468889e-002	2.079579e+001	2.028539e+000
1.705209439468890e-002	2.079479e+001	2.028538e+000
1.707209439468890e-002	2.079279e+001	2.028537e+000
1.708209439468891e-002	2.079179e+001	2.028536e+000
1.709209439468891e-002	2.079079e+001	2.028535e+000
1.710209439468891e-002	2.078979e+001	2.028534e+000
1.712209439468892e-002	2.078779e+001	2.028532e+000
1.714209439468892e-002	2.078579e+001	2.028531e+000
1.715209439468893e-002	2.078479e+001	2.028530e+000
1.717209439468893e-002	2.078279e+001	2.028528e+000
1.719209439468894e-002	2.078079e+001	2.028526e+000
1.721209439468895e-002	2.077879e+001	2.028525e+000
1.722209439468895e-002	2.077779e+001	2.028524e+000
1.724209439468896e-002	2.077579e+001	2.028522e+000
1.726209439468896e-002	2.077379e+001	2.028520e+000
1.728209439468897e-002	2.077179e+001	2.028519e+000
1.968209439468970e-002	2.053179e+001	2.028314e+000
1.999209439468980e-002	2.050079e+001	2.028288e+000
2.000000000000000e-002	2.050000e+001	2.028287e+000
