rl	V(vout)	-I(Rl)
4.840000000099941e+000	2.027645e+000	4.189349e-001
4.850000000099941e+000	2.027645e+000	4.180712e-001
4.860000000099941e+000	2.027645e+000	4.172110e-001
4.870000000099941e+000	2.027646e+000	4.163543e-001
4.880000000099940e+000	2.027646e+000	4.155012e-001
4.890000000099940e+000	2.027646e+000	4.146515e-001
4.900000000099940e+000	2.027646e+000	4.138054e-001
4.910000000099940e+000	2.027647e+000	4.129626e-001
4.920000000099940e+000	2.027647e+000	4.121233e-001
4.930000000099939e+000	2.027647e+000	4.112874e-001
4.940000000099939e+000	2.027647e+000	4.104549e-001
4.950000000099939e+000	2.027647e+000	4.096257e-001
4.960000000099939e+000	2.027647e+000	4.087999e-001
4.970000000099939e+000	2.027648e+000	4.079774e-001
4.980000000099938e+000	2.027648e+000	4.071582e-001
4.990000000099938e+000	2.027648e+000	4.063423e-001
5.000000000099938e+000	2.027648e+000	4.055297e-001
5.010000000099938e+000	2.027649e+000	4.047203e-001
5.020000000099937e+000	2.027649e+000	4.039141e-001
5.030000000099937e+000	2.027649e+000	4.031112e-001
5.040000000099937e+000	2.027665e+000	4.023145e-001
5.050000000099937e+000	2.027649e+000	4.015147e-001
5.060000000099937e+000	2.027650e+000	4.007213e-001
5.070000000099936e+000	2.027649e+000	3.999308e-001
5.080000000099936e+000	2.027650e+000	3.991437e-001
5.090000000099936e+000	2.027650e+000	3.983596e-001
5.100000000099936e+000	2.027663e+000	3.975811e-001
5.110000000099936e+000	2.027651e+000	3.968005e-001
5.120000000099935e+000	2.027651e+000	3.960256e-001
5.130000000099935e+000	2.027651e+000	3.952536e-001
