time	-I(Rl)	V(vout)
4.011411303520439e-03	6.435754e-11	6.372035e-01
4.011660715741183e-03	6.705426e-11	6.639038e-01
4.011967588513334e-03	7.027053e-11	6.957480e-01
4.012541811931533e-03	7.619988e-11	7.544543e-01
4.013115842313532e-03	8.208771e-11	8.127497e-01
4.014097062380790e-03	9.215007e-11	9.123769e-01
4.015460767846400e-03	1.061859e-10	1.051346e+00
4.016733956694514e-03	1.193172e-10	1.181359e+00
4.018338064382861e-03	1.357415e-10	1.343975e+00
4.019230245510102e-03	1.445216e-10	1.430907e+00
4.020059699073008e-03	1.519021e-10	1.503982e+00
4.020890518385761e-03	1.582084e-10	1.566420e+00
4.021528945496247e-03	1.622248e-10	1.606186e+00
4.022324108753647e-03	1.664926e-10	1.648441e+00
4.023366118932787e-03	1.715943e-10	1.698954e+00
4.024529447999857e-03	1.770187e-10	1.752661e+00
4.026040111877471e-03	1.838931e-10	1.820724e+00
4.027984081286552e-03	1.925918e-10	1.906849e+00
4.031408116609526e-03	2.076112e-10	2.055556e+00
4.037125789340430e-03	2.320584e-10	2.297608e+00
4.043961726840429e-03	2.603867e-10	2.578086e+00
4.050797664340430e-03	2.877248e-10	2.848761e+00
4.057633601840430e-03	3.140676e-10	3.109580e+00
4.064469539340430e-03	3.394504e-10	3.360895e+00
4.071305476840430e-03	3.639075e-10	3.603044e+00
4.078141414340430e-03	3.874722e-10	3.836358e+00
4.084977351840430e-03	4.101768e-10	4.061158e+00
4.091813289340430e-03	4.320528e-10	4.277752e+00
