time	V(in)	V(out)
1.522977646394811e-003	1.000000000000000e+000	2.870729310970645e+001
1.523077646394811e-003	1.000000000000000e+000	2.870728925705331e+001
1.523177646394811e-003	1.000000000000000e+000	2.870728540510767e+001
1.523277646394811e-003	1.000000000000000e+000	2.870728155384427e+001
1.523377646394811e-003	1.000000000000000e+000	2.870727770323313e+001
1.523477646394811e-003	1.000000000000000e+000	2.870727385325123e+001
1.523577646394811e-003	1.000000000000000e+000	2.870727000387235e+001
1.523677646394811e-003	1.000000000000000e+000	2.870726615507459e+001
1.523777646394811e-003	1.000000000000000e+000	2.870726230683189e+001
1.523877646394811e-003	1.000000000000000e+000	2.870725845912493e+001
1.523977646394811e-003	1.000000000000000e+000	2.870725461193070e+001
1.524077646394811e-003	1.000000000000000e+000	2.870725076522988e+001
1.524177646394811e-003	1.000000000000000e+000	2.870724691900128e+001
1.524277646394811e-003	1.000000000000000e+000	2.870724307322846e+001
1.524377646394811e-003	1.000000000000000e+000	2.870723922789158e+001
1.524477646394811e-003	1.000000000000000e+000	2.870723538297441e+001
1.524577646394811e-003	1.000000000000000e+000	2.870723153845917e+001
1.524677646394811e-003	1.000000000000000e+000	2.870722769433217e+001
1.524777646394811e-003	1.000000000000000e+000	2.870722385057645e+001
1.524877646394811e-003	1.000000000000000e+000	2.870722000717767e+001
1.524977646394811e-003	1.000000000000000e+000	2.870721616412115e+001
1.525077646394811e-003	1.000000000000000e+000	2.870721232139441e+001
1.525177646394811e-003	1.000000000000000e+000	2.870720847898267e+001
1.525277646394811e-003	1.000000000000000e+000	2.870720463687465e+001
1.525377646394811e-003	1.000000000000000e+000	2.870720079505831e+001
1.525477646394811e-003	1.000000000000000e+000	2.870719695352289e+001
1.525577646394811e-003	1.000000000000000e+000	2.870719311225616e+001
1.525677646394811e-003	1.000000000000000e+000	2.870718927124753e+001
1.525777646394811e-003	1.000000000000000e+000	2.870718543048641e+001
1.525877646394811e-003	1.000000000000000e+000	2.870718158996422e+001
1.525977646394811e-003	1.000000000000000e+000	2.870717774967058e+001
1.526077646394811e-003	1.000000000000000e+000	2.870717390959630e+001
1.526177646394811e-003	1.000000000000000e+000	2.870717006973258e+001
1.526277646394811e-003	1.000000000000000e+000	2.870716623007168e+001
1.526377646394811e-003	1.000000000000000e+000	2.870716239060610e+001
1.526477646394811e-003	1.000000000000000e+000	2.870715855132837e+001
1.526577646394811e-003	1.000000000000000e+000	2.870715471223031e+001
1.526677646394811e-003	1.000000000000000e+000	2.870715087330408e+001
1.526777646394811e-003	1.000000000000000e+000	2.870714703454306e+001
1.526877646394811e-003	1.000000000000000e+000	2.870714319594131e+001
1.526977646394811e-003	1.000000000000000e+000	2.870713935749203e+001
1.527077646394811e-003	1.000000000000000e+000	2.870713551918922e+001
1.527177646394811e-003	1.000000000000000e+000	2.870713168102811e+001
1.527277646394811e-003	1.000000000000000e+000	2.870712784300240e+001
1.527377646394811e-003	1.000000000000000e+000	2.870712400510659e+001
1.527477646394811e-003	1.000000000000000e+000	2.870712016733540e+001
1.527577646394811e-003	1.000000000000000e+000	2.870711632968424e+001
1.527677646394811e-003	1.000000000000000e+000	2.870711249214788e+001
1.527777646394811e-003	1.000000000000000e+000	2.870710865472174e+001
1.527877646394811e-003	1.000000000000000e+000	2.870710481740195e+001
1.527977646394811e-003	1.000000000000000e+000	2.870710098018600e+001
1.528077646394811e-003	1.000000000000000e+000	2.870709714306840e+001
1.528177646394811e-003	1.000000000000000e+000	2.870709330604435e+001
1.528277646394811e-003	1.000000000000000e+000	2.870708946910949e+001
1.528377646394811e-003	1.000000000000000e+000	2.870708563226167e+001
1.528477646394811e-003	1.000000000000000e+000	2.870708179549763e+001
1.528577646394811e-003	1.000000000000000e+000	2.870707795881466e+001
1.528677646394811e-003	1.000000000000000e+000	2.870707412220823e+001
1.528777646394811e-003	1.000000000000000e+000	2.870707028567547e+001
1.528877646394811e-003	1.000000000000000e+000	2.870706644921283e+001
1.528977646394811e-003	1.000000000000000e+000	2.870706261281865e+001
1.529077646394811e-003	1.000000000000000e+000	2.870705877649017e+001
1.529177646394811e-003	1.000000000000000e+000	2.870705494022538e+001
1.529277646394811e-003	1.000000000000000e+000	2.870705110402047e+001
1.529377646394811e-003	1.000000000000000e+000	2.870704726787436e+001
1.529477646394811e-003	1.000000000000000e+000	2.870704343178419e+001
1.529577646394811e-003	1.000000000000000e+000	2.870703959574765e+001
1.529677646394811e-003	1.000000000000000e+000	2.870703575976145e+001
1.529777646394811e-003	1.000000000000000e+000	2.870703192382527e+001
1.529877646394811e-003	1.000000000000000e+000	2.870702808793658e+001
1.529977646394811e-003	1.000000000000000e+000	2.870702425209371e+001
1.530077646394811e-003	1.000000000000000e+000	2.870702041629384e+001
1.530177646394811e-003	1.000000000000000e+000	2.870701658053685e+001
1.530277646394811e-003	1.000000000000000e+000	2.870701274481988e+001
1.530377646394811e-003	1.000000000000000e+000	2.870700890914226e+001
1.530477646394811e-003	1.000000000000000e+000	2.870700507350194e+001
1.530577646394811e-003	1.000000000000000e+000	2.870700123789755e+001
1.530677646394811e-003	1.000000000000000e+000	2.870699740232664e+001
1.530777646394811e-003	1.000000000000000e+000	2.870699356678983e+001
1.530877646394811e-003	1.000000000000000e+000	2.870698973128466e+001
1.530977646394811e-003	1.000000000000000e+000	2.870698589581066e+001
1.531077646394811e-003	1.000000000000000e+000	2.870698206036544e+001
1.531177646394811e-003	1.000000000000000e+000	2.870697822494829e+001
1.531277646394811e-003	1.000000000000000e+000	2.870697438955735e+001
1.531377646394811e-003	1.000000000000000e+000	2.870697055419342e+001
1.531477646394811e-003	1.000000000000000e+000	2.870696671885435e+001
1.531577646394811e-003	1.000000000000000e+000	2.870696288353942e+001
1.531677646394811e-003	1.000000000000000e+000	2.870695904824679e+001
1.531777646394811e-003	1.000000000000000e+000	2.870695521297747e+001
1.531877646394811e-003	1.000000000000000e+000	2.870695137772902e+001
1.531977646394811e-003	1.000000000000000e+000	2.870694754250122e+001
1.532077646394811e-003	1.000000000000000e+000	2.870694370729304e+001
1.532177646394811e-003	1.000000000000000e+000	2.870693987210456e+001
1.532277646394811e-003	1.000000000000000e+000	2.870693603693321e+001
1.532377646394811e-003	1.000000000000000e+000	2.870693220177937e+001
1.532477646394811e-003	1.000000000000000e+000	2.870692836664121e+001
1.532577646394811e-003	1.000000000000000e+000	2.870692453152008e+001
1.532677646394811e-003	1.000000000000000e+000	2.870692069641538e+001
1.532777646394811e-003	1.000000000000000e+000	2.870691686132622e+001
1.532877646394811e-003	1.000000000000000e+000	2.870691302624988e+001
1.532977646394811e-003	1.000000000000000e+000	2.870690919118744e+001
1.533077646394811e-003	1.000000000000000e+000	2.870690535613769e+001
1.533177646394811e-003	1.000000000000000e+000	2.870690152110160e+001
1.533277646394811e-003	1.000000000000000e+000	2.870689768607711e+001
1.533377646394811e-003	1.000000000000000e+000	2.870689385106453e+001
1.533477646394811e-003	1.000000000000000e+000	2.870689001606347e+001
1.533577646394811e-003	1.000000000000000e+000	2.870688618107414e+001
1.533677646394811e-003	1.000000000000000e+000	2.870688234609415e+001
1.533777646394811e-003	1.000000000000000e+000	2.870687851112521e+001
1.533877646394811e-003	1.000000000000000e+000	2.870687467616555e+001
1.533977646394811e-003	1.000000000000000e+000	2.870687084121467e+001
1.534077646394811e-003	1.000000000000000e+000	2.870686700627195e+001
1.534177646394811e-003	1.000000000000000e+000	2.870686317133888e+001
1.534277646394811e-003	1.000000000000000e+000	2.870685933641362e+001
1.534377646394811e-003	1.000000000000000e+000	2.870685550149710e+001
1.534477646394811e-003	1.000000000000000e+000	2.870685166658799e+001
1.534577646394811e-003	1.000000000000000e+000	2.870684783168630e+001
1.534677646394811e-003	1.000000000000000e+000	2.870684399679092e+001
1.534777646394811e-003	1.000000000000000e+000	2.870684016190336e+001
1.534877646394811e-003	1.000000000000000e+000	2.870683632702180e+001
1.534977646394811e-003	1.000000000000000e+000	2.870683249214655e+001
1.535077646394811e-003	1.000000000000000e+000	2.870682865727640e+001
1.535177646394811e-003	1.000000000000000e+000	2.870682482241276e+001
1.535277646394811e-003	1.000000000000000e+000	2.870682098755545e+001
1.535377646394811e-003	1.000000000000000e+000	2.870681715270423e+001
1.535477646394811e-003	1.000000000000000e+000	2.870681331785667e+001
1.535577646394811e-003	1.000000000000000e+000	2.870680948301472e+001
1.535677646394811e-003	1.000000000000000e+000	2.870680564817723e+001
1.535777646394811e-003	1.000000000000000e+000	2.870680181334486e+001
1.535877646394811e-003	1.000000000000000e+000	2.870679797851661e+001
1.535977646394811e-003	1.000000000000000e+000	2.870679414369279e+001
1.536077646394811e-003	1.000000000000000e+000	2.870679030887248e+001
1.536177646394811e-003	1.000000000000000e+000	2.870678647405704e+001
1.536277646394811e-003	1.000000000000000e+000	2.870678263924540e+001
1.536377646394811e-003	1.000000000000000e+000	2.870677880443808e+001
1.536477646394811e-003	1.000000000000000e+000	2.870677496963345e+001
1.536577646394811e-003	1.000000000000000e+000	2.870677113483237e+001
1.536677646394811e-003	1.000000000000000e+000	2.870676730003430e+001
1.536777646394811e-003	1.000000000000000e+000	2.870676346524014e+001
1.536877646394811e-003	1.000000000000000e+000	2.870675963044808e+001
1.536977646394811e-003	1.000000000000000e+000	2.870675579565949e+001
1.537077646394811e-003	1.000000000000000e+000	2.870675196087418e+001
1.537177646394811e-003	1.000000000000000e+000	2.870674812609154e+001
1.537277646394811e-003	1.000000000000000e+000	2.870674429131027e+001
1.537377646394811e-003	1.000000000000000e+000	2.870674045653240e+001
1.537477646394811e-003	1.000000000000000e+000	2.870673662175680e+001
1.537577646394811e-003	1.000000000000000e+000	2.870673278698415e+001
1.537677646394811e-003	1.000000000000000e+000	2.870672895221332e+001
1.537777646394811e-003	1.000000000000000e+000	2.870672511744501e+001
1.537877646394811e-003	1.000000000000000e+000	2.870672128267845e+001
1.537977646394811e-003	1.000000000000000e+000	2.870671744791485e+001
1.538077646394811e-003	1.000000000000000e+000	2.870671361315339e+001
1.538177646394811e-003	1.000000000000000e+000	2.870670977839369e+001
1.538277646394811e-003	1.000000000000000e+000	2.870670594363465e+001
1.538377646394811e-003	1.000000000000000e+000	2.870670210887790e+001
1.538477646394811e-003	1.000000000000000e+000	2.870669827412271e+001
1.538577646394811e-003	1.000000000000000e+000	2.870669443936988e+001
1.538677646394811e-003	1.000000000000000e+000	2.870669060461833e+001
1.538777646394811e-003	1.000000000000000e+000	2.870668676986882e+001
1.538877646394811e-003	1.000000000000000e+000	2.870668293512049e+001
1.538977646394811e-003	1.000000000000000e+000	2.870667910037383e+001
1.539077646394811e-003	1.000000000000000e+000	2.870667526562828e+001
