time	V(vout)
2.296853819287842e+000	3.673700e-004
2.298315247859280e+000	3.348485e-004
2.299776676430718e+000	3.026165e-004
2.301238105002156e+000	2.706738e-004
2.302699533573594e+000	2.390205e-004
2.302709533573594e+000	2.388049e-004
2.304170962145033e+000	2.074336e-004
2.305632390716470e+000	1.763343e-004
2.307093819287909e+000	1.455069e-004
2.308555247859347e+000	1.149513e-004
2.310016676430785e+000	8.466762e-005
2.311478105002223e+000	5.465583e-005
2.312939533573661e+000	2.491592e-005
2.312949533573661e+000	2.471329e-005
2.314410962145100e+000	-4.761646e-006
2.315872390716538e+000	-3.398118e-005
2.317333819287976e+000	-6.294530e-005
2.318795247859414e+000	-9.165403e-005
2.320256676430852e+000	-1.201073e-004
2.321718105002290e+000	-1.483053e-004
2.323179533573728e+000	-1.762478e-004
2.323189533573729e+000	-1.764382e-004
2.324650962145167e+000	-2.041318e-004
2.326112390716605e+000	-2.315855e-004
2.327573819288043e+000	-2.587993e-004
2.329035247859481e+000	-2.857731e-004
2.330496676430919e+000	-3.125071e-004
2.331958105002357e+000	-3.390012e-004
2.333419533573796e+000	-3.652554e-004
2.333429533573796e+000	-3.654343e-004
2.334890962145234e+000	-3.914547e-004
2.336352390716672e+000	-4.172497e-004
2.337813819288110e+000	-4.428195e-004
2.339275247859548e+000	-4.681639e-004
2.340736676430987e+000	-4.932830e-004
2.342198105002424e+000	-5.181767e-004
2.343659533573863e+000	-5.428452e-004
2.343669533573863e+000	-5.430132e-004
2.353909533573930e+000	-7.098692e-004
2.364149533573997e+000	-8.666546e-004
2.374389533574064e+000	-1.013983e-003
2.384629533574131e+000	-1.152431e-003
2.394869533574198e+000	-1.282540e-003
2.405109533574265e+000	-1.404820e-003
2.415349533574332e+000	-1.519749e-003
2.425589533574399e+000	-1.627776e-003
2.435829533574466e+000	-1.729323e-003
2.446069533574534e+000	-1.824787e-003
2.456309533574601e+000	-1.914540e-003
2.466549533574668e+000	-1.998932e-003
2.476789533574735e+000	-2.078291e-003
2.487029533574802e+000	-2.152925e-003
2.497269533574869e+000	-2.223123e-003
2.507509533574936e+000	-2.289158e-003
2.517749533575003e+000	-2.351285e-003
2.527989533575070e+000	-2.409742e-003
2.538229533575137e+000	-2.464756e-003
2.548469533575204e+000	-2.516536e-003
2.558709533575271e+000	-2.565281e-003
2.568949533575339e+000	-2.611177e-003
2.579189533575406e+000	-2.654397e-003
2.589429533575473e+000	-2.695107e-003
2.599669533575540e+000	-2.733459e-003
2.609909533575607e+000	-2.769599e-003
2.620149533575674e+000	-2.803660e-003
2.630389533575741e+000	-2.835770e-003
2.640629533575808e+000	-2.866049e-003
2.650869533575875e+000	-2.894608e-003
2.661109533575942e+000	-2.921552e-003
2.671349533576009e+000	-2.946980e-003
2.681589533576076e+000	-2.970983e-003
2.691829533576144e+000	-2.993650e-003
2.702069533576211e+000	-3.015060e-003
2.712309533576278e+000	-3.035292e-003
2.722549533576345e+000	-3.054415e-003
2.732789533576412e+000	-3.072498e-003
2.743029533576479e+000	-3.089604e-003
2.753269533576546e+000	-3.105791e-003
2.763509533576613e+000	-3.121116e-003
2.773749533576680e+000	-3.135629e-003
2.783989533576747e+000	-3.149382e-003
2.794229533576814e+000	-3.162418e-003
2.804469533576881e+000	-3.174782e-003
2.814709533576949e+000	-3.186514e-003
2.824949533577016e+000	-3.197651e-003
2.835189533577083e+000	-3.208230e-003
2.845429533577150e+000	-3.218283e-003
2.855669533577217e+000	-3.227843e-003
2.865909533577284e+000	-3.236938e-003
2.876149533577351e+000	-3.245595e-003
2.886389533577418e+000	-3.253842e-003
2.896629533577485e+000	-3.261702e-003
2.906869533577552e+000	-3.269198e-003
2.917109533577619e+000	-3.276351e-003
2.927349533577687e+000	-3.283183e-003
2.937589533577754e+000	-3.289710e-003
2.947829533577821e+000	-3.295952e-003
2.958069533577888e+000	-3.301924e-003
2.968309533577955e+000	-3.307643e-003
