time	-I(Rl)	V(vout)
2.391257733642775e-03	2.100888e-01	2.100888e-04
2.391792709972390e-03	1.708828e-01	1.708828e-04
2.392745685238376e-03	1.231640e-01	1.231640e-04
2.393375214847028e-03	1.217709e-01	1.217710e-04
2.393861656270738e-03	1.688098e-01	1.688098e-04
2.394352640218286e-03	2.664195e-01	2.664195e-04
2.394556253320343e-03	3.102829e-01	3.102829e-04
2.394761715264264e-03	3.385867e-01	3.385867e-04
2.394928660803471e-03	3.442350e-01	3.442350e-04
2.395077221374843e-03	3.381965e-01	3.381965e-04
2.395236802548075e-03	3.252923e-01	3.252923e-04
2.395456615722573e-03	3.033538e-01	3.033539e-04
2.395702891993670e-03	2.774936e-01	2.774936e-04
2.396064216035192e-03	2.408690e-01	2.408690e-04
2.396441752397382e-03	2.070780e-01	2.070780e-04
2.397196825121762e-03	1.544159e-01	1.544159e-04
2.398271903431629e-03	1.104129e-01	1.104129e-04
2.398899376165106e-03	1.275664e-01	1.275664e-04
2.399365866417106e-03	1.985515e-01	1.985515e-04
2.399697589384299e-03	2.868787e-01	2.868788e-04
2.399865076546186e-03	3.307436e-01	3.307436e-04
2.400049153289503e-03	3.597692e-01	3.597692e-04
2.400182775773991e-03	3.656115e-01	3.656115e-04
2.400318436736496e-03	3.603924e-01	3.603925e-04
2.400461099077066e-03	3.484999e-01	3.484999e-04
2.400703932109893e-03	3.226490e-01	3.226491e-04
2.400966954749192e-03	2.929389e-01	2.929389e-04
2.401271104566640e-03	2.597505e-01	2.597506e-04
2.401655143399227e-03	2.227892e-01	2.227892e-04
2.402423221064402e-03	1.624288e-01	1.624289e-04
2.403233737589858e-03	1.149512e-01	1.149512e-04
2.403891301966729e-03	9.630839e-02	9.630840e-05
2.404407468358800e-03	1.150362e-01	1.150362e-04
2.404774882174967e-03	1.764739e-01	1.764740e-04
2.405154298785443e-03	2.899559e-01	2.899559e-04
2.405302614521106e-03	3.378011e-01	3.378011e-04
2.405442305514428e-03	3.702982e-01	3.702982e-04
2.405569319722439e-03	3.838062e-01	3.838062e-04
2.405678225081299e-03	3.844239e-01	3.844239e-04
2.405799673061679e-03	3.770726e-01	3.770726e-04
2.405967599875134e-03	3.604817e-01	3.604817e-04
2.406204042588748e-03	3.327783e-01	3.327783e-04
2.406428984115499e-03	3.055991e-01	3.055991e-04
2.406726860304680e-03	2.714071e-01	2.714071e-04
2.407117167335170e-03	2.317617e-01	2.317618e-04
2.407778625112557e-03	1.757531e-01	1.757531e-04
2.408470352653244e-03	1.308234e-01	1.308234e-04
2.409336600730763e-03	9.408088e-02	9.408089e-05
2.409852854311912e-03	9.539411e-02	9.539412e-05
2.410283167126130e-03	1.430926e-01	1.430926e-04
2.410675778459278e-03	2.450183e-01	2.450183e-04
2.410864715921070e-03	3.140500e-01	3.140500e-04
2.410983135025265e-03	3.529675e-01	3.529676e-04
2.411151260838147e-03	3.860950e-01	3.860950e-04
2.411263055089218e-03	3.938170e-01	3.938171e-04
2.411369944513464e-03	3.907933e-01	3.907934e-04
2.411485996784429e-03	3.813359e-01	3.813360e-04
2.411682255681374e-03	3.595007e-01	3.595007e-04
2.411896225399793e-03	3.331343e-01	3.331344e-04
2.412131538975992e-03	3.040588e-01	3.040588e-04
2.412414801956216e-03	2.717687e-01	2.717687e-04
2.412981327916663e-03	2.157734e-01	2.157735e-04
2.413631698699107e-03	1.634369e-01	1.634369e-04
2.414383951627644e-03	1.198737e-01	1.198737e-04
2.415347436869736e-03	9.434460e-02	9.434461e-05
2.415899297889767e-03	1.234477e-01	1.234477e-04
2.416301515707454e-03	2.037142e-01	2.037142e-04
2.416570954361691e-03	2.945197e-01	2.945198e-04
2.416710247278615e-03	3.431366e-01	3.431366e-04
2.416846641848285e-03	3.760748e-01	3.760748e-04
2.416967560220370e-03	3.894922e-01	3.894922e-04
2.417074896165407e-03	3.902695e-01	3.902696e-04
2.417191014569292e-03	3.831001e-01	3.831001e-04
2.417387402243807e-03	3.631636e-01	3.631637e-04
2.417600096819845e-03	3.377237e-01	3.377237e-04
2.417831168376359e-03	3.091645e-01	3.091645e-04
2.418088785997344e-03	2.792449e-01	2.792449e-04
2.418588240363872e-03	2.281829e-01	2.281829e-04
